,Unnamed: 0,has_null,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,like,guess_prob_liked,met,match,age_gap,age_gap_abs,same_race,same_race_point,attractive_p,sincere_partner_p,intelligence_p,funny_p,ambition_p,shared_interests_p,attractive_m,sincere_partner_m,intelligence_m,funny_m,ambition_m,shared_interests_m,gender_male,race_Asian/PacificIslander/Asian-American,race_Black/AfricanAmerican,race_European/Caucasian-American,race_Latino/HispanicAmerican,race_Other,race_o_Asian/PacificIslander/Asian-American,race_o_Black/AfricanAmerican,race_o_European/Caucasian-American,race_o_Latino/HispanicAmerican,race_o_Other
44,44,1,21.0,24.0,8.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,7.0,7.0,5.0,4.0,8.0,-0.16,7.0,10.0,7.0,4.0,0.0,0,3.0,3.0,-1,-8.0,150.0,90.0,180.0,70.0,90.0,100.0,120.0,35.0,175.0,125.0,40.0,120.0,0,0,0,1,0,0,0,0,0,1,0
45,45,1,21.0,25.0,8.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,5.0,6.0,7.0,5.0,7.0,8.0,0.06,7.0,10.0,7.0,3.0,0.0,0,4.0,4.0,1,8.0,250.0,0.0,210.0,70.0,0.0,70.0,100.0,30.0,175.0,125.0,70.0,120.0,0,0,0,1,0,0,0,0,1,0,0
46,46,1,21.0,30.0,8.0,1.0,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,6.0,8.0,5.0,5.0,6.0,-0.05,7.0,10.0,6.0,3.0,0.0,0,9.0,9.0,1,8.0,70.0,45.0,100.0,40.0,25.0,30.0,120.0,30.0,200.0,125.0,50.0,90.0,0,0,0,1,0,0,0,0,1,0,0
47,47,1,21.0,27.0,8.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,5.0,5.0,7.0,6.0,7.0,5.0,0.07,7.0,10.0,6.0,4.0,0.0,0,6.0,6.0,1,8.0,166.64999999999998,55.55,66.66,55.55,55.55,111.1,100.0,25.0,175.0,150.0,70.0,75.0,0,0,0,1,0,0,0,0,1,0,0
48,48,1,21.0,28.0,8.0,1.0,50.0,0.0,25.0,10.0,0.0,15.0,5.0,9.0,9.0,9.0,9.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,7.0,5.0,7.0,8.0,7.0,9.0,-0.13,7.0,10.0,9.0,4.0,0.0,1,7.0,7.0,1,8.0,250.0,0.0,225.0,90.0,0.0,90.0,140.0,25.0,175.0,200.0,70.0,135.0,0,0,0,1,0,0,0,0,1,0,0
49,49,1,21.0,24.0,8.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.0,10.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,9.0,6.0,7.0,9.0,6.0,5.0,-0.06,7.0,10.0,10.0,3.0,0.0,0,3.0,3.0,1,8.0,300.0,0.0,0.0,0.0,0.0,0.0,180.0,30.0,175.0,225.0,60.0,75.0,0,0,0,1,0,0,0,0,1,0,0
50,50,0,23.0,27.0,1.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,7.0,6.0,7.0,6.0,0.33,4.0,3.0,6.0,6.0,0.0,0,4.0,4.0,-1,-1.0,245.0,180.0,160.0,180.0,0.0,20.0,60.0,225.0,140.0,150.0,35.0,90.0,0,1,0,0,0,0,0,0,1,0,0
51,51,0,23.0,22.0,1.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,9.0,6.0,8.0,2.0,0.37,4.0,3.0,7.0,6.0,0.0,0,-1.0,1.0,-1,-1.0,360.0,0.0,0.0,240.0,0.0,0.0,60.0,225.0,180.0,150.0,40.0,30.0,0,1,0,0,0,0,0,0,1,0,0
52,52,0,23.0,22.0,1.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,20.0,25.0,5.0,15.0,4.0,7.0,9.0,4.0,3.0,2.0,-0.51,4.0,3.0,6.0,2.0,1.0,0,-1.0,1.0,1,1.0,190.0,180.0,190.0,180.0,140.0,120.0,40.0,175.0,180.0,100.0,15.0,30.0,0,1,0,0,0,0,1,0,0,0,0
53,53,0,23.0,23.0,1.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,8.0,6.0,7.0,8.0,2.0,8.0,0.12,4.0,3.0,9.0,4.0,0.0,1,0.0,0.0,-1,-1.0,180.0,40.0,120.0,280.0,45.0,40.0,80.0,150.0,140.0,200.0,10.0,120.0,0,1,0,0,0,0,0,0,1,0,0
54,54,0,23.0,24.0,1.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7.0,9.0,7.0,9.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,4.0,8.0,8.0,4.0,2.0,0.35,4.0,3.0,4.0,3.0,1.0,0,1.0,1.0,-1,-1.0,270.0,70.0,180.0,70.0,90.0,120.0,50.0,100.0,160.0,200.0,20.0,30.0,0,1,0,0,0,0,0,0,0,1,0
55,55,0,23.0,25.0,1.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,8.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,3.0,7.0,6.0,1.0,1.0,1.0,0.19,4.0,3.0,2.0,2.0,0.0,0,2.0,2.0,-1,-1.0,300.0,0.0,240.0,80.0,0.0,70.0,30.0,175.0,120.0,25.0,5.0,15.0,0,1,0,0,0,0,0,0,1,0,0
